subject,resptype,deadline,dprime,c,beta
33082,confidence,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
33082,yn,deadline,0.993129114160457,-0.177925193115853,0.838028902342482
33082,confidence,no,1.82483913057209,0.237929815089963,1.54370232280758
33082,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
97274,confidence,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
97274,yn,deadline,2.18137123138603,-0.772046251728638,0.185607790873807
97274,confidence,no,1.46898874434038,0.415855008205816,1.84206334470396
97274,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
19011,confidence,deadline,0.993129114160457,0.177925193115853,1.1932762667311
19011,yn,deadline,2.18137123138603,0.772046251728638,5.38770487646121
19011,confidence,no,1.82483913057209,0.237929815089963,1.54370232280758
19011,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
97532,confidence,deadline,-0.318639363964375,-0.159319681982188,1.05207617578267
97532,yn,deadline,1.82483913057209,0.237929815089963,1.54370232280758
97532,confidence,no,0.318639363964375,-0.159319681982188,0.950501515972519
97532,yn,no,1.54409250345728,-1.09068561569301,0.185607790873807
26974,confidence,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
26974,yn,deadline,0.831710016411633,-0.734494372170192,0.542869496249984
26974,confidence,no,1.46898874434038,-0.415855008205816,0.542869496249984
26974,yn,no,1.34897950039216,0,1
84720,confidence,deadline,1.86273186742165,0.931365933710826,5.66827594267296
84720,yn,deadline,3.01308124779766,0.356191243522822,2.92482063222808
84720,confidence,no,1.34897950039216,0,1
84720,yn,no,2.53722161761773,0.594121058612785,4.51505240376603
22311,confidence,deadline,0.318639363964375,0.159319681982188,1.05207617578267
22311,yn,deadline,0.993129114160457,0.177925193115853,1.1932762667311
22311,confidence,no,0.993129114160457,0.177925193115853,1.1932762667311
22311,yn,no,1.54409250345728,-1.09068561569301,0.185607790873807
83769,confidence,deadline,0.674489750196082,0.337244875098041,1.25541753135468
83769,yn,deadline,1.34897950039216,0,1
83769,confidence,no,2.18137123138603,-0.772046251728638,0.185607790873807
83769,yn,no,2.53722161761773,-0.594121058612785,0.221481371770103
95972,confidence,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
95972,yn,deadline,0.993129114160457,-0.177925193115853,0.838028902342482
95972,confidence,no,0.993129114160457,-0.177925193115853,0.838028902342482
95972,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
7443,confidence,deadline,-0.318639363964375,0.159319681982188,0.950501515972519
7443,yn,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
7443,confidence,no,3.01308124779766,0.356191243522822,2.92482063222808
7443,yn,no,1.46898874434038,-0.415855008205816,0.542869496249984
36657,confidence,deadline,1.15034938037601,0.575174690188004,1.93799095924558
36657,yn,deadline,0.993129114160457,-0.177925193115853,0.838028902342482
36657,confidence,no,1.82483913057209,-0.237929815089963,0.647793285807375
36657,yn,no,3.01308124779766,0.356191243522822,2.92482063222808
83337,confidence,deadline,2.53722161761773,-0.594121058612785,0.221481371770103
83337,yn,deadline,0.993129114160457,0.177925193115853,1.1932762667311
83337,confidence,no,2.53722161761773,0.594121058612785,4.51505240376603
83337,yn,no,3.01308124779766,0.356191243522822,2.92482063222808
88669,confidence,deadline,2.30069876075202,0,1
88669,yn,deadline,1.34897950039216,0,1
88669,confidence,no,1.34897950039216,0,1
88669,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
72828,confidence,deadline,0.674489750196082,-0.337244875098041,0.796547742105316
72828,yn,deadline,0.993129114160457,0.177925193115853,1.1932762667311
72828,confidence,no,0.63727872792875,0,1
72828,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
77663,confidence,deadline,0,0,1
77663,yn,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
77663,confidence,no,2.53722161761773,-0.594121058612785,0.221481371770103
77663,yn,no,1.46898874434038,-0.415855008205816,0.542869496249984
46,confidence,deadline,1.34897950039216,0,1
46,yn,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
46,confidence,no,1.82483913057209,0.237929815089963,1.54370232280758
46,yn,no,3.01308124779766,-0.356191243522822,0.341901308060117
90861,confidence,deadline,-0.674489750196082,0.337244875098041,0.796547742105316
90861,yn,deadline,1.46898874434038,0.415855008205816,1.84206334470396
90861,confidence,no,0,0,1
90861,yn,no,-0.674489750196082,-0.337244875098041,1.25541753135468
26015,confidence,deadline,0.63727872792875,0,1
26015,yn,deadline,0.318639363964375,-0.159319681982188,0.950501515972519
26015,confidence,no,1.46898874434038,-0.415855008205816,0.542869496249984
26015,yn,no,0.831710016411633,-0.734494372170192,0.542869496249984
51939,confidence,deadline,0.475859630179926,0.912419565286045,1.54370232280758
51939,yn,deadline,3.01308124779766,0.356191243522822,2.92482063222808
51939,confidence,no,0.355850386231707,0.496564557080228,1.1932762667311
51939,yn,no,1.34897950039216,0,1
13885,confidence,deadline,-2.53722161761773,-0.594121058612785,4.51505240376603
13885,yn,deadline,-1.34897950039216,0,1
13885,confidence,no,0.674489750196082,0.337244875098041,1.25541753135468
13885,yn,no,0.63727872792875,0,1
20614,confidence,deadline,3.7254637348433,0,1
20614,yn,deadline,3.01308124779766,0.356191243522822,2.92482063222808
20614,confidence,no,3.01308124779766,-0.356191243522822,0.341901308060117
20614,yn,no,3.01308124779766,-0.356191243522822,0.341901308060117
30148,confidence,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
30148,yn,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
30148,confidence,no,2.30069876075202,0,1
30148,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
21135,confidence,deadline,1.86273186742165,-0.931365933710826,0.176420486601864
21135,yn,deadline,0,-0.318639363964375,1
21135,confidence,no,1.82483913057209,0.237929815089963,1.54370232280758
21135,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
18600,confidence,deadline,0.674489750196082,-0.337244875098041,0.796547742105316
18600,yn,deadline,0.674489750196082,0.337244875098041,1.25541753135468
18600,confidence,no,2.18137123138603,0.772046251728638,5.38770487646121
18600,yn,no,1.15034938037601,0.575174690188004,1.93799095924558
88140,confidence,deadline,1.15034938037601,-0.575174690188004,0.515998279160848
88140,yn,deadline,0.993129114160457,0.177925193115853,1.1932762667311
88140,confidence,no,0.63727872792875,0,1
88140,yn,no,2.53722161761773,0.594121058612785,4.51505240376603
38511,confidence,deadline,3.01308124779766,0.356191243522822,2.92482063222808
38511,yn,deadline,0.63727872792875,0,1
38511,confidence,no,0,0,1
38511,yn,no,3.01308124779766,0.356191243522822,2.92482063222808
56103,confidence,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
56103,yn,deadline,2.18137123138603,-0.772046251728638,0.185607790873807
56103,confidence,no,3.7254637348433,0,1
56103,yn,no,3.01308124779766,-0.356191243522822,0.341901308060117
91441,confidence,deadline,-1.46898874434038,0.415855008205816,0.542869496249984
91441,yn,deadline,1.82483913057209,0.237929815089963,1.54370232280758
91441,confidence,no,-0.674489750196082,0.337244875098041,0.796547742105316
91441,yn,no,0,0.318639363964375,1
88111,confidence,deadline,2.53722161761773,0.594121058612785,4.51505240376603
88111,yn,deadline,3.7254637348433,0,1
88111,confidence,no,2.18137123138603,0.772046251728638,5.38770487646121
88111,yn,no,3.7254637348433,0,1
96573,confidence,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
96573,yn,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
96573,confidence,no,3.01308124779766,0.356191243522822,2.92482063222808
96573,yn,no,2.30069876075202,0,1
57820,confidence,deadline,-2.30069876075202,0,1
57820,yn,deadline,1.82483913057209,0.237929815089963,1.54370232280758
57820,confidence,no,0.63727872792875,0,1
57820,yn,no,0.318639363964375,0.159319681982188,1.05207617578267
10661,confidence,deadline,1.46898874434038,0.415855008205816,1.84206334470396
10661,yn,deadline,1.15034938037601,-0.575174690188004,0.515998279160848
10661,confidence,no,0.993129114160457,0.177925193115853,1.1932762667311
10661,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
96333,confidence,deadline,2.30069876075202,0,1
96333,yn,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
96333,confidence,no,1.46898874434038,-0.415855008205816,0.542869496249984
96333,yn,no,3.7254637348433,0,1
68200,confidence,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
68200,yn,deadline,1.46898874434038,-0.415855008205816,0.542869496249984
68200,confidence,no,1.82483913057209,-0.237929815089963,0.647793285807375
68200,yn,no,2.30069876075202,0,1
92973,confidence,deadline,0.674489750196082,-0.337244875098041,0.796547742105316
92973,yn,deadline,-0.355850386231707,0.496564557080228,0.838028902342482
92973,confidence,no,0.63727872792875,0,1
92973,yn,no,1.46898874434038,0.415855008205816,1.84206334470396
24746,confidence,deadline,1.82483913057209,0.237929815089963,1.54370232280758
24746,yn,deadline,1.46898874434038,-0.415855008205816,0.542869496249984
24746,confidence,no,2.53722161761773,0.594121058612785,4.51505240376603
24746,yn,no,2.30069876075202,0,1
22923,confidence,deadline,0.993129114160457,0.177925193115853,1.1932762667311
22923,yn,deadline,1.34897950039216,0,1
22923,confidence,no,0.993129114160457,0.177925193115853,1.1932762667311
22923,yn,no,2.53722161761773,0.594121058612785,4.51505240376603
13437,confidence,deadline,0.674489750196082,0.337244875098041,1.25541753135468
13437,yn,deadline,0.318639363964375,0.159319681982188,1.05207617578267
13437,confidence,no,1.15034938037601,-0.575174690188004,0.515998279160848
13437,yn,no,2.53722161761773,-0.594121058612785,0.221481371770103
98556,confidence,deadline,0.674489750196082,-0.337244875098041,0.796547742105316
98556,yn,deadline,1.46898874434038,0.415855008205816,1.84206334470396
98556,confidence,no,0.674489750196082,-0.337244875098041,0.796547742105316
98556,yn,no,2.53722161761773,-0.594121058612785,0.221481371770103
88136,confidence,deadline,1.15034938037601,0.575174690188004,1.93799095924558
88136,yn,deadline,2.18137123138603,0.772046251728638,5.38770487646121
88136,confidence,no,1.15034938037601,0.575174690188004,1.93799095924558
88136,yn,no,1.46898874434038,0.415855008205816,1.84206334470396
73677,confidence,deadline,1.46898874434038,-0.415855008205816,0.542869496249984
73677,yn,deadline,1.34897950039216,0,1
73677,confidence,no,0.674489750196082,0.337244875098041,1.25541753135468
73677,yn,no,0.318639363964375,-0.159319681982188,0.950501515972519
23481,confidence,deadline,3.7254637348433,0,1
23481,yn,deadline,1.34897950039216,0,1
23481,confidence,no,3.01308124779766,-0.356191243522822,0.341901308060117
23481,yn,no,2.18137123138603,-0.772046251728638,0.185607790873807
22215,confidence,deadline,0.993129114160457,0.177925193115853,1.1932762667311
22215,yn,deadline,2.18137123138603,0.772046251728638,5.38770487646121
22215,confidence,no,0.318639363964375,-0.159319681982188,0.950501515972519
22215,yn,no,2.30069876075202,0,1
45487,confidence,deadline,1.15034938037601,0.575174690188004,1.93799095924558
45487,yn,deadline,1.46898874434038,0.415855008205816,1.84206334470396
45487,confidence,no,-0.993129114160457,0.177925193115853,0.838028902342482
45487,yn,no,1.15034938037601,0.575174690188004,1.93799095924558
45974,confidence,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
45974,yn,deadline,0.318639363964375,0.159319681982188,1.05207617578267
45974,confidence,no,-0.318639363964375,-0.159319681982188,1.05207617578267
45974,yn,no,3.01308124779766,-0.356191243522822,0.341901308060117
31835,confidence,deadline,0,0.674489750196082,1
31835,yn,deadline,1.46898874434038,0.415855008205816,1.84206334470396
31835,confidence,no,3.01308124779766,-0.356191243522822,0.341901308060117
31835,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
93643,confidence,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
93643,yn,deadline,2.30069876075202,0,1
93643,confidence,no,1.82483913057209,-0.237929815089963,0.647793285807375
93643,yn,no,2.30069876075202,0,1
63860,confidence,deadline,2.53722161761773,-0.594121058612785,0.221481371770103
63860,yn,deadline,2.18137123138603,-0.772046251728638,0.185607790873807
63860,confidence,no,2.53722161761773,0.594121058612785,4.51505240376603
63860,yn,no,3.7254637348433,0,1
14080,confidence,deadline,2.53722161761773,0.594121058612785,4.51505240376603
14080,yn,deadline,2.18137123138603,-0.772046251728638,0.185607790873807
14080,confidence,no,2.53722161761773,-0.594121058612785,0.221481371770103
14080,yn,no,2.53722161761773,0.594121058612785,4.51505240376603
56194,confidence,deadline,0.355850386231707,-0.496564557080228,0.838028902342482
56194,yn,deadline,2.30069876075202,0,1
56194,confidence,no,3.01308124779766,0.356191243522822,2.92482063222808
56194,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
89530,confidence,deadline,0.63727872792875,0,1
89530,yn,deadline,0.318639363964375,-0.159319681982188,0.950501515972519
89530,confidence,no,0.993129114160457,-0.177925193115853,0.838028902342482
89530,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
66177,confidence,deadline,2.30069876075202,0,1
66177,yn,deadline,1.86273186742165,-0.931365933710826,0.176420486601864
66177,confidence,no,1.15034938037601,-0.575174690188004,0.515998279160848
66177,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
9329,confidence,deadline,3.01308124779766,0.356191243522822,2.92482063222808
9329,yn,deadline,2.53722161761773,0.594121058612785,4.51505240376603
9329,confidence,no,3.01308124779766,-0.356191243522822,0.341901308060117
9329,yn,no,2.18137123138603,0.772046251728638,5.38770487646121
80003,confidence,deadline,0.318639363964375,0.159319681982188,1.05207617578267
80003,yn,deadline,0.318639363964375,0.159319681982188,1.05207617578267
80003,confidence,no,0,-0.318639363964375,1
80003,yn,no,0.355850386231707,0.496564557080228,1.1932762667311
59063,confidence,deadline,1.82483913057209,0.237929815089963,1.54370232280758
59063,yn,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
59063,confidence,no,3.01308124779766,0.356191243522822,2.92482063222808
59063,yn,no,2.30069876075202,0,1
44839,confidence,deadline,2.18137123138603,-0.772046251728638,0.185607790873807
44839,yn,deadline,2.53722161761773,0.594121058612785,4.51505240376603
44839,confidence,no,2.53722161761773,0.594121058612785,4.51505240376603
44839,yn,no,2.30069876075202,0,1
65643,confidence,deadline,1.34897950039216,0,1
65643,yn,deadline,-1.46898874434038,-0.415855008205816,1.84206334470396
65643,confidence,no,2.30069876075202,0,1
65643,yn,no,1.46898874434038,-0.415855008205816,0.542869496249984
9403,confidence,deadline,0.674489750196082,0.337244875098041,1.25541753135468
9403,yn,deadline,0.831710016411633,0.734494372170192,1.84206334470396
9403,confidence,no,1.46898874434038,0.415855008205816,1.84206334470396
9403,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
56002,confidence,deadline,2.30069876075202,0,1
56002,yn,deadline,1.82483913057209,0.237929815089963,1.54370232280758
56002,confidence,no,3.01308124779766,0.356191243522822,2.92482063222808
56002,yn,no,0.993129114160457,0.177925193115853,1.1932762667311
82738,confidence,deadline,0.318639363964375,-0.159319681982188,0.950501515972519
82738,yn,deadline,-0.831710016411633,-0.734494372170192,1.84206334470396
82738,confidence,no,0.318639363964375,-0.159319681982188,0.950501515972519
82738,yn,no,3.01308124779766,-0.356191243522822,0.341901308060117
29768,confidence,deadline,2.53722161761773,-0.594121058612785,0.221481371770103
29768,yn,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
29768,confidence,no,0.674489750196082,-0.337244875098041,0.796547742105316
29768,yn,no,0.993129114160457,0.177925193115853,1.1932762667311
31062,confidence,deadline,-1.34897950039216,0,1
31062,yn,deadline,0.63727872792875,0,1
31062,confidence,no,0.674489750196082,-0.337244875098041,0.796547742105316
31062,yn,no,0,-0.318639363964375,1
96165,confidence,deadline,1.34897950039216,0,1
96165,yn,deadline,1.82483913057209,0.237929815089963,1.54370232280758
96165,confidence,no,0.63727872792875,0,1
96165,yn,no,1.15034938037601,-0.575174690188004,0.515998279160848
86266,confidence,deadline,0.674489750196082,-0.337244875098041,0.796547742105316
86266,yn,deadline,0.63727872792875,0,1
86266,confidence,no,0.63727872792875,0,1
86266,yn,no,1.54409250345728,1.09068561569301,5.38770487646121
35010,confidence,deadline,-0.674489750196082,-0.337244875098041,1.25541753135468
35010,yn,deadline,0,0,1
35010,confidence,no,-0.318639363964375,0.159319681982188,0.950501515972519
35010,yn,no,1.34897950039216,0,1
83619,confidence,deadline,-1.54409250345728,1.09068561569301,0.185607790873807
83619,yn,deadline,-3.7254637348433,0,1
83619,confidence,no,-3.7254637348433,0,1
83619,yn,no,-2.53722161761773,0.594121058612785,0.221481371770103
6643,confidence,deadline,2.18137123138603,0.772046251728638,5.38770487646121
6643,yn,deadline,1.15034938037601,0.575174690188004,1.93799095924558
6643,confidence,no,3.01308124779766,-0.356191243522822,0.341901308060117
6643,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
23881,confidence,deadline,0.318639363964375,0.159319681982188,1.05207617578267
23881,yn,deadline,-3.01308124779766,0.356191243522822,0.341901308060117
23881,confidence,no,-0.355850386231707,0.496564557080228,0.838028902342482
23881,yn,no,-0.993129114160457,-0.177925193115853,1.1932762667311
46648,confidence,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
46648,yn,deadline,1.82483913057209,0.237929815089963,1.54370232280758
46648,confidence,no,2.30069876075202,0,1
46648,yn,no,1.82483913057209,-0.237929815089963,0.647793285807375
20248,confidence,deadline,0.993129114160457,-0.177925193115853,0.838028902342482
20248,yn,deadline,1.46898874434038,-0.415855008205816,0.542869496249984
20248,confidence,no,1.34897950039216,0,1
20248,yn,no,0.993129114160457,-0.177925193115853,0.838028902342482
10750,confidence,deadline,3.7254637348433,0,1
10750,yn,deadline,3.7254637348433,0,1
10750,confidence,no,1.82483913057209,-0.237929815089963,0.647793285807375
10750,yn,no,3.7254637348433,0,1
43056,confidence,deadline,3.01308124779766,0.356191243522822,2.92482063222808
43056,yn,deadline,3.7254637348433,0,1
43056,confidence,no,1.82483913057209,0.237929815089963,1.54370232280758
43056,yn,no,3.01308124779766,-0.356191243522822,0.341901308060117
67049,confidence,deadline,0.993129114160457,0.177925193115853,1.1932762667311
67049,yn,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
67049,confidence,no,1.82483913057209,-0.237929815089963,0.647793285807375
67049,yn,no,1.34897950039216,0,1
50082,confidence,deadline,3.01308124779766,0.356191243522822,2.92482063222808
50082,yn,deadline,1.82483913057209,0.237929815089963,1.54370232280758
50082,confidence,no,2.30069876075202,0,1
50082,yn,no,0.674489750196082,0.337244875098041,1.25541753135468
1263,confidence,deadline,1.82483913057209,0.237929815089963,1.54370232280758
1263,yn,deadline,2.53722161761773,-0.594121058612785,0.221481371770103
1263,confidence,no,0.318639363964375,0.159319681982188,1.05207617578267
1263,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
